Name,Sources,Topics,Type,Link,Headline,Questions,Impact,Update,Evidence,Report,Author,Date,URL,Topics_Text
Welsh poverty data require multi-year averaging,FRS / HBAI,Economic Resources; Geographic Scope; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='42'>Details</button>,"Welsh poverty statistics require multi?year averaging due to small sample sizes.  Additionally, HBAI data used for analysis comes with a multi-year time lag",Various about Welsh poverty,"Data won't give a ""live"" picture of poverty",NA,"""This report uses rolling 3-year averages to compensate for low sample
sizes of Welsh data throughout, unless otherwise stated. Where 5 or 7-year
averages are used, this is noted explicitly in an endnote or source note.
Most of the official poverty data (from the Households Below Average
Income (HBAI) series) used in this report ends at 2022/23. There remains
a Covid-19-related effect on the data collection, but methods gradually
returned to their pre-pandemic modes (see Annex 2 of UK Poverty
for details). The latest HBAI data for 2023/24 was released near the
completion of this report and is used in the overall poverty section only.
Any revisions in earlier data are also not presented, as the full dataset has
not yet been released."" (p9)
",Poverty in Wales 2025,JRF,2025,https://www.jrf.org.uk/poverty-in-wales-2025,"Analysis & Insights (Poverty Measurement); Geographic Scope (Devolved Nations); Economic Resources & Living Standards (Employment, Income & Earnings)"
Regional ethnic child poverty data unpublished,FRS / HBAI,Population Groups; Geographic Scope; Analysis & Insights,Data access,<button type='button' class='btn' id='43'>Details</button>,Ethnicity-specific child-poverty figures are not published at regional level.,What is the scale and pattern of child poverty among different ethnic groups within the North East (and other regions)?,Obscures disparities facing minority-ethnic children,NA,"“No regional breakdown of figures for child poverty by ethnic group is available.” (p21)
",Child poverty and devolution in North East England,IPPR,2020,https://www.ippr.org/articles/child-poverty-and-devolution,Analysis & Insights (Intersectionality & Subgroups); Geographic Scope (Other); Population Groups (Children & Families)
DWP shares data for only 45% UC recipients,Universal Credit Data Share,Economic Resources; Geographic Scope; Analysis & Insights,Data sharing,<button type='button' class='btn' id='44'>Details</button>,"DWP data sharing to local authorities is limited, which makes more than half of UC recipients invisible to councils.",How many eligible UC households are missed because LAs don’t receive data for UC claimants not on Council Tax Support?,"Councils can't see the full population under their authority who claim benefits.  In this case, that makes analysis of social tariff uptake far more uncertain",NA,"""Richmond and Wandsworth have data on only 45% of Universal Credit recipients. This is because the DWP only shares data on people who make an active claim for council tax support."" (p12)

""Of the 20,895 households in or at risk of arrears, we were able to match 4,373 (20.9%) addresses in the benefits data. The remaining 79.1% of households will be a combination of:1. Households in arrears but not on means tested benefits. Of the approximately 220,000 households in Richmond and Wandsworth, Policy in Practice only has visibility of under 13%.2. Households claiming Universal Credit that are not claiming council tax reduction. Because DWP does not include these households in the Universal Credit Data Share, local authorities do not receive their data and therefore they are not part of the LIFT [Low Income Family Tracker] data. There are over 20,000 households in this category for Richmond and Wandsworth.3. Households that exist in the benefits data but have mismatched addresses in the two
datasets (that cannot be resolved using Policy in Practice’s address matching tool)."" (p15)
",Automating access to water social tariffs: A pilot study with Thames Water in Richmond and Wandsworth,Policy in Practice,2025,https://policyinpractice.co.uk/wp-content/uploads/2025/03/Report_Automating-access-to-water-social-tariffs_31March2025.pdf,Analysis & Insights (Targeting & Eligibility); Geographic Scope (Local Authority); Economic Resources & Living Standards (Benefits & Social Security)
LFS overstates post-pandemic inactivity rise,LFS,Economic Resources; Analysis & Insights,Data quality,<button type='button' class='btn' id='45'>Details</button>,The Labour Force Survey appears to over-state the rise in economic inactivity since 2019.,"Has economic inactivity actually risen since the pandemic, or is this a measurement error?",Inflated perception of an “inactivity crisis” may misdirect policy resources.,NA,"“…the LFS currently says that the 16+ inactivity rate has risen by 1 percentage point from Q4 2019 to Q3 2024, but… [admin-based estimate shows] zero change…” (p. 11)
",Get Britain’s Stats Working,Resolution Foundation,2024,https://www.resolutionfoundation.org/publications/get-britains-stats-working/,"Analysis & Insights (Poverty Measurement); Economic Resources & Living Standards (Employment, Income & Earnings)"
WAS methodology change obscures generational wealth analysis,Wealth and Assets Survey,Economic Resources; Analysis & Insights,Data quality,<button type='button' class='btn' id='46'>Details</button>,New methods applied to Wealth and Assets Survey leave old data unreliable and obscure analysis of wealth distribution across generations.,"Various wealth-related questions, including about intergenerational wealth distribution",Old data still unreliable; distribution of wealth across generations is less reliable,NA,"Furthermore, recently the ONS changed its methodology in its Wealth and Assets Survey and introduced two measures that improved the reliability of the latest version but haven’t corrected it for earlier versions. The new methodology also includes a change on how the value of future pension income is converted into today’s terms, making analysis of the distribution of wealth across generations much less reliable.
",Independent Review into National Statistics,Women's Budget Group,2025,https://www.wbg.org.uk/article/independent-review-into-national-statistics/,Analysis & Insights (Distributional Analysis); Economic Resources & Living Standards (Wealth & Assets)
Government lacks systematic Pupil Premium spending data,Devolved data,Misc,Wish; Data quality,<button type='button' class='btn' id='47'>Details</button>,"Government lacks systematic, robust data on how Pupil Premium funding is spent",What are schools spending Pupil Premium on and what impact does that expenditure have on disadvantaged pupils?,"Without comparable spending data, effectiveness cannot be evaluated and funds may be misdirected",NA,"“Government lacks a clear picture of how PP is being spent because of a lack of systematic, robust accountability processes.” (p6)

""In the longer term, the DfE should establish a system for systematically collecting
data on how schools spend PP funding. This would enable more rigorous tracking, analysis, and accountability of spending patterns, and support the development of more strategic, impactfocused use of the funding across the school system."" (p51)
",Unequal Returns: The case for reforming the Pupil Premium,Centre for Social Justice,2025,https://www.centreforsocialjustice.org.uk/wp-content/uploads/2025/07/CSJ-Unequal_Returns.pdf,
UC housing element not separately reported,FRS / HBAI; DWP admin data,Economic Resources; Essential Services; Geographic Scope; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='48'>Details</button>,"Housing element of Universal Credit not separately reported in UCFS/HBAI, limiting analysis of housing support.",What is the impact of the housing element of UC on poverty reduction?,Prevents evaluation of housing support adequacy or impact; hinders policy design on housing and poverty.,NA,"""Families on low-income benefits sometimes get support for their housing costs. In the legacy system, this was through Housing Benefit but in the current system, it is largely through the housing element of UC. Unfortunately, in UC, the housing element is not easily reported as a separate amount. This means that in the
Households Below Average Income data it is not possible to analyse the impact of the housing element of UC."" (p62)
",Poverty in Scotland 2024,JRF,2024,https://www.jrf.org.uk/poverty-in-scotland-2024,Analysis & Insights (Policy Design & Evaluation); Geographic Scope (Devolved Nations); Essential Services & Living Conditions (Housing & Homelessness); Economic Resources & Living Standards (Benefits & Social Security)
Secure FRS access severely restricted,FRS / HBAI,Economic Resources; Essential Services; Analysis & Insights,Data access,<button type='button' class='btn' id='49'>Details</button>,"Access to more granular and practically useful versions of FRS data from the UK Data Service is strictly controlled, which can frustrate researchers outside of government getting to use it.",Various about LHA adequacy,Either researchers have to use a less granular dataset or go through an extensive and cumbersome security procedure,NA,"""The UKDS has recently made available a secure version of the FRS through its secure data services (UK Data Service, n.d.). In the secure version of the FRS, geographical information at a more detailed level, including BRMA, is provided in the dataset. However, there are strict conditions on access to the data.
Researchers have to undergo accredited training on data handling, the research project has to satisfy a public benefit test and must be approved by the data owner, the DWP. Furthermore, users cannot download the data to their own computers: instead, they must use a secure connection to the UKDS servers, carry out analysis remotely on UKDS machines, and all outputs from the analysis (tables, charts, and so on) have to be approved individually by the UKDS to ensure that none of them contain any risk of individuals being identified."" (p19)
",Stop the freeze: permanently re-link housing benefits to private rents,JRF,2024,https://www.jrf.org.uk/housing/stop-the-freeze-permanently-re-link-housing-benefits-to-private-rents,Analysis & Insights (Policy Design & Evaluation); Essential Services & Living Conditions (Housing & Homelessness); Economic Resources & Living Standards (Benefits & Social Security)
FSM eligibility data inconsistent over time,National Pupil Database,Population Groups; Analysis & Insights,Standardisation and Harmonisation,<button type='button' class='btn' id='50'>Details</button>,"Free School Meals (FSM) eligibility data in National Pupil Database have been inconsistent over time, frustrating interpretation of changes and policy impacts over time.","How consistent, valid and usable is the FSM measure in the National Pupil Database as a proxy for child poverty and for tracking gaps over time?","Apparent changes in attainment or wellbeing gaps may simply reflect shifting classification, leading to misinterpretation of trends and mis-targeting of education or anti-poverty policies.",NA,"“Compounding known issues with patterns of under-recording in the NPD of FSM-entitled children … findings here indicate that the compositions of the FSM vs non-FSM-ascribed groups have changed over time” (p5)

“This is important because … Variation in the magnitude of differences between groups, and ‘closing’ or ‘widening’ of ‘gaps’ may be due to children being categorised differently, rather than to equivalent children having different outcomes and experiences.” (p11)

""These multiple uncertainties and complexities have implications for thevalidity of comparisons over time between the FSM-attributed and non-FSM-attributed groups, and for whether the causes of changes in ‘gaps’over time can be situated at the level of policies or interventions within theeducation system (or elsewhere) targeted at these groups."" (p55)
","No such thing as a free lunch? Exploring the consistency, validity, and uses of the Free School Meals measure in the National Pupil Database",LSE CASE -  Campbell & Obolenskaya,2021,https://sticerd.lse.ac.uk/dps/case/cp/casepaper225.pdf,Analysis & Insights (Poverty Measurement); Population Groups (Children & Families)
Inadequate migrant child poverty data obscures scale,FRS / HBAI,Population Groups; Analysis & Insights,Data quality; Wish,<button type='button' class='btn' id='51'>Details</button>,Inadequate data on poverty experienced by children with migrant parents obscures the scale of the problem,"How many children with migrant parents live in poverty, and how has this changed over time?",Obscures prevalence of child poverty among migrant families,NA,"“Beyond the legal and practical barriers discussed above, there are also more profound systemic barriers embedded within the immigration and welfare systems. Inefficiencies in decision-making and inconsistent application of section 17 support are compounded by inadequate data on poverty experienced by children with migrant parents, obscuring the scale of the problem.” (p20)
",Hidden Hardships: The immigration system and child poverty,IPPR,2025,https://www.ippr.org/articles/hidden-hardships,Analysis & Insights (Poverty Measurement); Population Groups (Migrants)
UC data does not record reasons for deductions,Universal Credit Data Share,Economic Resources; Analysis & Insights,Data sharing,<button type='button' class='btn' id='52'>Details</button>,"More than half of UC deductions records shared with LAs have reasons for the deductions labelled as “Unknown”, obscuring information that may be helpful for reducing deductions.",What types of UC deductions are most common?,Detailed analysis of the kinds of deductions that are made is not possible with the limited data that DWP provide,NA,"“The reason that a deduction is made is not always visible in the Universal Credit data… The most common category of deduction in the data is ‘Unknown deductions’ representing over 50 % of deductions visible in the data…” (p15)

""It is probable that deductions marked as Unknown Deductions are multiple, simultaneous debt deductions which are not separately defined by the DWP within the data provided to councils."" (p15)

“Overall, the limited number of types of deductions identified in the dataset suggests that there may be gaps in the DWP's recording and monitoring of the various types of deductions that can be applied to Universal Credit payments.  It is important to note that this is about to change as the DWP expands the types of deductions that will be visible in the datasets.” (p60)
",Hidden holes: Deductions and sanctions for people on Universal Credit,Policy in Practice,2025,https://policyinpractice.co.uk/wp-content/uploads/2025/04/Hidden-holes_-Deductions-and-sanctions-for-people-on-Universal-Credit-report-April-2025.pdf,Analysis & Insights (Targeting & Eligibility); Economic Resources & Living Standards (Benefits & Social Security)
DWP benefits data insufficient to target social tariffs on water bills,DWP admin data,Economic Resources; Essential Services; Analysis & Insights,Data sharing; Sufficiency,<button type='button' class='btn' id='53'>Details</button>,"DWP benefits-sharing feed to Thames Water only gives Yes/No flag for receipt of means-tested benefits, but this is insufficient for effectively targetting social tariffs.",Are social tariffs for water reaching the people who are in need of them?,"This paper presents the results of a collaborative project between Policy in Practice, Thames Water, and two local authorities, the latter holding data that can better identify candidates for auto enrolment on social tariffs.  The poor data sharing between DWP and Thames water necessitates this approach, which requires individual councils (and in this case, third-sector orgs) to partner to understand uptake of social tariffs",NA,"""Thames Water is increasing the support available to customers in difficulty, primarily through socialtariffs. However, despite extensive outreach efforts, take up of social tariffs has suffered from lowawareness, and customers sometimes struggle to complete an application.Thames Water has a data sharing agreement with DWP to ask who is in receipt of means tested
benefits, such as Universal Credit or Pension Credit. The data only provides a Yes/No indicator of
receipt, which lacks the detail needed to effectively target social tariffs to those most in need."" (p2)
",Automating access to water social tariffs: A pilot study with Thames Water in Richmond and Wandsworth,Policy in Practice,2025,https://policyinpractice.co.uk/wp-content/uploads/2025/03/Report_Automating-access-to-water-social-tariffs_31March2025.pdf,Analysis & Insights (Targeting & Eligibility); Essential Services & Living Conditions (Utilities); Economic Resources & Living Standards (Costs & Expenditure)
Regulator impact on protected groups poorly understood,Not stated,Population Groups; Analysis & Insights,Misc,<button type='button' class='btn' id='54'>Details</button>,Impact of regulators' policies on people with protected characteristics is not well understood.,What is the impact of regulators' policies on people with different protected characteristics?,Lack of transparency and scrutiny of regulations,NA,"Those subject to the PSED, and indeed those outside it, should be encouraged to use Equality Impact Assessments to focus as much on advancing equality of opportunity as on eliminating discrimination. In order to do this effectively, data on protected characteristics needs to be collected and used in any impact assessment. To date, very little has been published by regulators on the impact of their policies on those with protected characteristics, and it is not clear whether this is because the data isn’t collected or is collected but not used. Our report has found many gaps in data, and understanding the experience of those with protected characteristics should be built into any research principles, from both a qualitative and quantitative perspective. (p10)
",The Inequality of Poverty,University of Bristol Personal Finance Research Centre,2021,https://www.bristol.ac.uk/media-library/sites/geography/pfrc/The-Inequality-of-Poverty-Full-Report.pdf,Analysis & Insights (Policy Design & Evaluation); Population Groups (Other)
MIS excludes homeowner maintenance costs,Minimum Income Standards,Economic Resources; Essential Services; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='55'>Details</button>,MIS treatment of housing costs does not capture homeowners’ maintenance costs.,What are minimum socially acceptable income standards in the UK over time?,May understate required income for home owners.,NA,"“One aspect of housing costs that it [Minimum Income Standards] does not fully capture, however, is home maintenance: the MIS model bases this on what the public think that tenants would need to spend as a minimum, while for homeowners it takes mortgage payments into account, but not the cost of maintaining one’s own home.” (p60)
",Households living below a Minimum Income Standard: 2008–2023,JRF,2025,https://www.jrf.org.uk/households-living-below-a-minimum-income-standard-2008-2023,Analysis & Insights (Poverty Measurement); Essential Services & Living Conditions (Housing & Homelessness); Economic Resources & Living Standards (Costs & Expenditure)
LFS issues limit local labour market comparisons,LFS,Economic Resources; Geographic Scope; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='56'>Details</button>,Issues with the Labour Force Survey limit confidence in comparisons of local labour markets,What is the gap between employment rates in high and low employment areas?,Conclusions cannot be reached with substantial confidence,NA,"""In the period since the pandemic, the UK labour market has been in flux, with rising economic inactivity (primarily due to sickness) and a resultant fall in employment compared to before the pandemic. There are some signs that poor national performance may be pushing regional employment gaps in the wrong direction.12 The absolute gap between high (90th percentile) and low (10th percentile) employment areas is at its highest level since 2017, but data issues with the Labour Force Survey mean it’s difficult to know how robust is this finding; what is more, HMRCs real-time PAYE data suggests
that low-employment areas have continued to see strong employee growth."" (p8)
",Uneven ground: Assessing the state of UK geographic economic inequality facing the new Government,Resolution Foundation,2024,https://www.resolutionfoundation.org/publications/uneven-ground/,"Analysis & Insights (Distributional Analysis); Geographic Scope (Other); Economic Resources & Living Standards (Employment, Income & Earnings)"
Cross-governmental administrative data on homelessness is limited,Other,Essential Services; Analysis & Insights,Data linkage; Standardisation and Harmonisation,<button type='button' class='btn' id='57'>Details</button>,Limited cross-government administrative data on homelessness hinders a whole-system view,Variety of questions relating to the homeless population,Government cannot plan or resource coordinated prevention and support,NA,"“Civil servants… identified a lack of cross-governmental understanding of homelessness and rough sleeping policy and available data… The data on homelessness and rough sleeping outside of MHCLG was described as fairly limited, hindering the collective ability of government to build a comprehensive picture of the population… There is also a lack of clarity from within other departments on how homelessness and rough sleeping funding is spent and how outcomes from this spending are measured.” (p40-41)
",Systems-wide evaluation of homelessness and rough sleeping: preliminary findings,Centre for Homelessness Impact; RSM; Cordis Bright,2025,https://www.gov.uk/government/publications/systems-wide-evaluation-of-homelessness-and-rough-sleeping-preliminary-findings/systems-wide-evaluation-of-homelessness-and-rough-sleeping-preliminary-findings,Analysis & Insights (Policy Design & Evaluation); Essential Services & Living Conditions (Housing & Homelessness)
Food bank data not linked,Not stated,Essential Services; Analysis & Insights,Standardisation and Harmonisation; Data linkage,<button type='button' class='btn' id='58'>Details</button>,Data about food bank advice services exists but is not well linked.,"What are the long-term impacts of food bank advice services?

How do food bank advice service users engage with the system?",Lack of data linkage limits understanding of impacts of food bank advice services affect wellbeing,NA,"""A considerable amount of data about the food bank advice services is already collected by advisers and Trussell. Consideration should be given to how existing data can be linked to understand and track people’s journeys. Further standardised data could also be collected. This could be collated and analysed at a national level to produce a set of measures for key impacts on financial wellbeing, for example."" (p111)
",Evaluating money matters advice and support services provided through food banks,University of Bristol Personal Finance Research Centre,2024,https://www.bristol.ac.uk/geography/research/pfrc/themes/financial-exclusion-poverty/evaluating-money-matters-services/,Analysis & Insights (Policy Design & Evaluation); Essential Services & Living Conditions (Food Security)
Limited data sharing hinders social tariff auto-enrolment,DWP admin data; HMRC data,Economic Resources; Essential Services; Geographic Scope; Analysis & Insights,Data sharing,<button type='button' class='btn' id='59'>Details</button>,"Limited data sharing between LAs, DWP, and HMRC data sharing reduce reach of auto-enrolment for social tariffs.",How can Auto Enrolment in social tariffs for a variety of utilities be improved?,Restricts scale and effectiveness of auto-enrolment; many eligible households missed.,NA,"""Given central government development times, we expect a 2025 pilot programme will have to be run in partnership with local authorities. DWP can still support LAs in 2025 by:
‡ Endorsing data sharing for this purpose as DWP did with Pension Credit uptake in November 2024. Data sharing for this purpose is both legal and possible, but convincing risk-averse legal teams in both local authorities and utilities of this can be a challenge. An endorsement from DWP would slash the time, cost and uncertainty of agreeing data shares. Failing this, working with companies experienced with local authority data sharing to accelerate the process
‡ Sharing data on all UC recipients with local authorities: DWP shares data on only 20-45% of Universal Credit recipients with local authorities, limiting the reach of Auto Enrol to about one-third of the eligible population. Existing legal gateways would support sharing of data on all residents, and DWP should do this through an expanded feed. This would be substantially faster (and cheaper) than an entirely new feed, which will take several years."" (p18)

""HMRC does not permit the use of income data for water poverty, despite legal gateways allowing it to do so. Utilities will need to estimate income based on benefit awards. Data held by local authorities does not include non-dependent income nor housing costs for owner-occupiers, so utilities will either need to ignore these criteria or take an estimation / assumption."" (p18)
",The art of the possible: How data can improve access to social tariffs in the short and medium term,Policy in Practice,2025,https://policyinpractice.co.uk/wp-content/uploads/2025/03/Report_The-art-of-the-possible_31March25.pdf,Analysis & Insights (Targeting & Eligibility); Geographic Scope (UK); Essential Services & Living Conditions (Utilities); Economic Resources & Living Standards (Costs & Expenditure)
The impact of the FRS Transformation project on broader poverty data remains unclear,FRS / HBAI,Analysis & Insights,Data linkage; Misc,<button type='button' class='btn' id='60'>Details</button>,"FRS Transformation experimental data seems to fix issue of missing £40bn of benefit income from regular FRS, but DWP have not yet set out how these changes affect our understanding of income poverty, and inequality and deprivation statistics.",How much benefit income do households actually receive?,"Experimental stats fix old problem, but have not been integrated into a broader understanding of poverty yet",Updated FRS data reflecting the use of administrative data to replace survey questions were released in 2026: https://www.gov.uk/government/collections/family-resources-survey--2,"""The DWP’s report shows that around £40 billion a year of benefit income does not appear in the survey data (as we set out in 2018). DWP has been working hard on fixing this by linking survey responses to real benefit data for each household so that survey errors – such as mis-estimating benefit amounts or forgetting about particular benefits – can be corrected. Doing so would add in around £20 billion of benefit income to 2022-23’s survey data....

But what about the other £20 billion? Well, the new release reveals for the first time that there is also “an underrepresentation of benefit recipients in the FRS sample”.... The DWP sets out how this can be addressed by ensuring that survey weights match not only population figures but also benefit caseloads and employment numbers.  The chart below shows the impacts of these two big changes – correcting survey responses using administrative data and revising population weights – which together would essentially resolve the problem of the missing £40 billion.

This is, however, just an experimental release. DWP has not set out how these changes would affect income, poverty, inequality and deprivation statistics. And it is not straightforward to guess at the impacts because, although correcting under-estimated benefit receipt will boost incomes, correcting the under-representation of the benefit-receiving population essentially means adding more poor households to the data.""
",Five takeaways from new living standards data,Resolution Foundation,2024,https://www.resolutionfoundation.org/comment/five-takeaways-from-new-living-standards-data/,Analysis & Insights (Poverty Measurement)
MIS overlooks disability extra costs,Minimum Income Standards,Economic Resources; Essential Services; Population Groups; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='61'>Details</button>,"The Minimum Income Standard (MIS) overlooks the extra costs of disability (as do official income statistics), so poverty calculations understate the needs of disabled people.",What are the additional living costs associated with different disabilities?,"Under-estimates the income required for disabled households, which will lead to inaccurate measures of who falls below the threshold",NA,"While the MIS is a comprehensive measureof acceptable living costs for the majority ofhouseholds, it does not reflect the additional costsof living with a disability. Measuring such costs isdifficult. Each disability is unique in its impact ona person’s life and therefore the additional costwill differ between any two disabilities. In 2015,however, the CRSP28 found that the additional costsfor a single deaf person were 82% higher (£706per month) than the default MIS budget. For thosewith hearing loss, the MIS was 25% higher (£217per month). (p12)
",The National Living Income: Guaranteeing a Decent Minimum Income for All,New Economics Foundation,2022,https://neweconomics.org/2022/12/the-national-living-income,Analysis & Insights (Poverty Measurement); Essential Services & Living Conditions (Health & Care); Population Groups (Disability); Economic Resources & Living Standards (Costs & Expenditure)
Detailed data on modular housing schemes is unavailable,Other,Essential Services; Analysis & Insights,Data quality; Wish,<button type='button' class='btn' id='62'>Details</button>,"A variety of data about modular housing schemes is unavailable, limiting usefulness for understanding these schemes as a possible tool to combat homelessness",What are the features of various modular housing schemes in the UK?,Makes it challenging to assess modular housing schemes' effectiveness for homelessness alleviation.  Policy evaluation becomes challenging in the absence of useful data about the intervention.,NA,"""For 11 schemes, the unit size was not available."" (p9)

“For 24 (73 %) of the schemes, information about the nature of the support provided to residents is not available.” (p9)

“Information about the onsite facilities… is currently limited and needs further research.” (p37)

“We do not currently have information about the nature of the location of the identified schemes… Further research is needed to explore the nature of the scheme locations and the impacts on residents.” (p 47)
",Insights into the use of modular housing in addressing homelessness,Centre for Homelessness Impact,2022,https://cdn.prod.website-files.com/59f07e67422cdf0001904c14/6267c9a0ddf4a9015075a4cb_CHI.Modular.housing.V8.pdf,Analysis & Insights (Policy Design & Evaluation); Essential Services & Living Conditions (Housing & Homelessness)
UC claims data on Stat-Xplore limited and outdated,DWP admin data,Economic Resources; Analysis & Insights,Data access; Sufficiency,<button type='button' class='btn' id='63'>Details</button>,UC claims data in Stat-Xplore are very limited and data migration issues disrupt ability to easily estimate overall caseload,Could better value for money be achieved by redirecting money currently spent on Housing Benefit and UC?,Analysts must rely on an old 2013 HB snapshot.,NA,"“The data available on universal credit claims via DWP stat-xplore is currently very limited … because of the gradual ongoing migration of claims from HB to UC, using the current caseload will seriously distort the caseload mix … the only option was to use the last complete dataset for HB … April 2013.” (p24)
",Housing for people on low incomes – how do we make the best use of government subsidies in England?,Centre for Homelessness Impact,2021,https://cdn.prod.website-files.com/59f07e67422cdf0001904c14/616952c88499426e7d779606_Centre%20for%20Homelessness%20Impact%20and%20Chartered%20Institute%20of%20Housing%20Policy%20paper.pdf#page=3.13,Analysis & Insights (Poverty Measurement); Economic Resources & Living Standards (Benefits & Social Security)
Flagship homelessness programmes lack outcome metrics,Devolved data; Homelessness data,Essential Services; Geographic Scope; Analysis & Insights,Standardisation and Harmonisation; Wish,<button type='button' class='btn' id='64'>Details</button>,There is an absence of relevant outcome & impact metrics for flagship homelessness interventions.,"Are the Homelessness Prevention Grant, RSAP and RSI achieving their intended outcomes?",Impossible to judge value for money or to learn which approaches reduce homelessness,NA,"""Local authorities regularly monitor and report rough sleeping and
homelessness metrics to MHCLG via tools such as the H-CLIC
performance dashboard. However, there is a lack of clear
alignment between these metrics and the programme activities. It was noted
from the evaluation that the focus of the metrics was on outputs. There
appears to be a need to address the lack of outcome and impact data
against the programme terms and conditions. The absence of this is
another factor which makes it difficult to assess whether the programmes
are successfully delivering the intended activities and whether they are
having the intended impact"" (p79)
",Systems-wide evaluation of homelessness and rough sleeping: preliminary findings,Centre for Homelessness Impact; RSM; Cordis Bright,2025,https://www.gov.uk/government/publications/systems-wide-evaluation-of-homelessness-and-rough-sleeping-preliminary-findings/systems-wide-evaluation-of-homelessness-and-rough-sleeping-preliminary-findings,Analysis & Insights (Policy Design & Evaluation); Geographic Scope (Local Authority); Essential Services & Living Conditions (Housing & Homelessness)
National poverty premium measure doesn't exist,Not stated,Economic Resources; Geographic Scope; Analysis & Insights,Wish,<button type='button' class='btn' id='65'>Details</button>,"CMA commissioned a feasibility study about a national poverty premium measure, but such a measure has not yet been produced.",How large is the poverty premium at the national level?,Poverty premium is not measured at national level or with the highest-quality data,NA,"Notably,there has been an interest in the production of a measure to track the overallpoverty premium at a national level. The Competition and Markets Authoritycommissioned a feasibility study to investigate the measurement of thepoverty premium in the UK.24 There has also been interest in measuring otherareas where often vulnerable customers are disadvantaged: for example, themethodology was adopted by Citizen Advice, to calculate a mental healthpoverty premium.25 However, to date, no other measurement of the UKpoverty premium has been produced. (p15)
",The poverty premium in 2022,University of Bristol Personal Finance Research Centre,2023,https://www.bristol.ac.uk/geography/research/pfrc/themes/financial-exclusion-poverty/poverty-premium-2022/,Analysis & Insights (Poverty Measurement); Geographic Scope (UK); Economic Resources & Living Standards (Costs & Expenditure)
Scale of 'hidden homelessness' is unknown,Unspecified admin data; Devolved data,Essential Services; Analysis & Insights,Wish,<button type='button' class='btn' id='66'>Details</button>,True scale of hidden homelessness is not estimable with existing data.,"What is the true scale, distribution and demographic profile of hidden homelessness in the UK?",Stunts any quantitative research into hidden homelessness,NA,"“The ONS has stated that it is not currently possible to estimate the true scale of hidden homelessness…” (p172)

“Whilst the overall number of people hidden homeless is unavailable, charities told the Commission that it was an issue they regularly came across in their work.” (p173)
",Two Nations: The State of Poverty in the UK,Centre for Social Justice,2023,https://www.centreforsocialjustice.org.uk/wp-content/uploads/2023/12/CSJ-Two_Nations.pdf,Analysis & Insights (Poverty Measurement); Essential Services & Living Conditions (Housing & Homelessness)
SIC Codes do not reflect jobs typically held by women,Other,Economic Resources; Population Groups; Geographic Scope,Sufficiency; Data quality,<button type='button' class='btn' id='67'>Details</button>,"SIC Codes reflect outdated picture of UK economy, leading to lack of nuance in understanding of jobs typically held by women.",Various relating to gender breakdowns of job sectors,Lack of nuance in understanding job roles that are overrepresentative of women,NA,"""SIC Codes and Caring Professions – The Standard Industrial Classification (SIC)
system can obscure the nature of women’s employment, particularly in care roles where they are overrepresented. An analysis of the classification shows that it provides a more detailed breakdown of traditionally male dominated roles compared to traditionally female dominated roles - a consequence of its reflection of the job market when it was first created. The classification fails to reflect evolving roles and seniority levels in women dominated fields, such as in nursing where different types of nurses are not easily distinguished, making detailed employment analysis difficult."" (p2)
","Gender, data and the labour market:Why data collection is not gender neutral",Women's Budget Group,2025,https://www.wbg.org.uk/publication/gender-data-and-the-labour-market-why-data-collection-is-not-gender-neutral/,"Geographic Scope (UK); Population Groups (Women & Gender); Economic Resources & Living Standards (Employment, Income & Earnings)"
Yearly EU-SILC material deprivation measure is at household level only,EU-SILC,Poverty Characteristics; Population Groups; Analysis & Insights,Sufficiency; Timeliness,<button type='button' class='btn' id='68'>Details</button>,"Standard EU-SILC material deprivation indicator only covers household level. Adapted indicators for individuals and children collected every 3 years, not annually.",Measuring individual and child-level material deprivation,"Researchers cannot test how bargaining power, gender or age affect individual poverty risk inside the same household.",NA,"""Though useful for measuring and monitoring material deprivation across
the EU Member States, the official material deprivation indicator had one
major shortcoming: the deprivation items that are included in the index are
collected at household level (i.e., only one household member provides
information) and the deprivation status is then assigned to all household
members. Thus, it cannot be used to infer inequality in deprivation
outcomes across household members (including children)..."" (p11)

NB: The authors go on to say that the EU adopted an individual-level deprivation indicator in 2018, and there is a child version of this with a few problems as noted below.  This will be collected going forward every 3 years.
","Living arrangements, intra-household inequality and children’s deprivation: Evidence from EU-SILC",LSE CASE - (Burchardt & Karagiannaki),2022,http://sticerd.lse.ac.uk/dps/case/cp/casepaper227.pdf,Analysis & Insights (Intra-Household Inequality); Population Groups (Women & Gender); Poverty Characteristics (Material Deprivation)
